city_name_he;city_name_en
גבעת אלה;Giv'at Ela
אשחר;Eshhar
דפנה;Dafna
רמות מנשה;Ramot Menashe
עין יעקב;En Ya'aqov
נאעורה;Na'ura
טורעאן;Tur'an
יפעת;Yif'at
כפר ברוך;Kefar Barukh
עמוקה;Amuqqa
פלך;Pelekh
שלוחות;Sheluhot
עין קנייא;Ein Qiniyye
קלע;Qela
כחל;Kahal
אלוני הבשן;Allone HaBashan
מבוא חמה;Mevo Hamma
חזון;Hazon
נטועה;Netu'a
אבן מנחם;Even Menahem
אבטליון;Avtalyon
מיצר;Mezar
גדעונה;Gid'ona
סולם;Sulam
שדי תרומות;Sede Terumot
אחוזת ברק;Ahuzzat Baraq
מיטב;Metav
קדרים;Qaddarim
חספין;Haspin
"דוב""ב";Dovev
בית יוסף;Bet Yosef
טפחות;Tefahot
גיתה;Gitta
נתיב השיירה;Netiv HaShayyara
אביבים;Avivim
שתולה;Shetula
גשור;Geshur
סלמה;Sallama
אלקוש;Elqosh
שעל;Sha'al
קדמת צבי;Qidmat Zevi
אביטל;Avital
דברת;Daverat
הושעיה;Hosha'aya
מלכייה;Malkiyya
פרזון;Perazon
שמשית;Shimshit
מנות;Manot
מצובה;Mazzuva
טל-אל;Tal-El
צנדלה;Sandala
עראמשה*;Aramsha
אלוני אבא;Allone Abba
מירון;Meron
שבי ציון;Shave Ziyyon
רם-און;Ram-On 
נוב;Nov
עין המפרץ;En HaMifraz
מרחביה (קיבוץ);Merhavya(Qibbuz)
עין דור;En Dor
הזורעים;HaZore'im
מצפה נטופה;Mizpe Netofa
יסוד המעלה;Yesud HaMa'ala
רומאנה;Rummane
מסעדה;Mas'ade
כפר יהושע;Kefar Yehoshua
גבעת אבני;Giv'at Avni
עלמה;Alma
עצמון שגב;Atsmon Segev
אלון הגליל;Allon HaGalil    
שדה יעקב;Sede Ya'aqov
רמת השופט;Ramat HaShofet
רגבה;Regba
יובלים;Yuvallim
גילון;Gilon
רשפים;Reshafim
בני יהודה;Bene Yehuda
בר יוחאי;Bar Yohay
"מצפה אבי""ב";Mizpe Aviv
מולדת;Moledet
איילת השחר;Ayyelet HaShahar
כנף;Kanaf
מצפה;Mizpa
שזור;Shezor
אל -רום;El-Rom
נטור;Natur
לבון;Lavon
כפר שמאי;Kefar Shammay
שרונה;Sharona
אור הגנוז;Or HaGanuz
כדיתה;Kaddita
בית קשת;Bet Qeshet
מירב;Merav
אבני איתן;Avne Etan
בית זרע;Bet Zera
בית העמק;Bet HaEmeq
יחיעם;Yehi'am
תל תאומים;Tel Te'omim 
שמרת;Shamerat
ניר יפה;Nir Yafe
סואעד (חמרייה)*;Sawa'id(Hamriyye)
יפתח;Yiftah
האון;HaOn
ברעם;Bar'am
שדה אילן;Sede Ilan
אשרת;Asherat
אודם;Odem
עמקה;Amqa
בית זיד;Bet Zeid
כפר חיטים;Kefar Hittim
גבע;Geva
כפר חושן;Kefar Hoshen
חבר;Hever
"נווה אטי""ב";Newe Ativ
בית הלל;Bet Hillel
גזית;Gazit
מדרך עוז;Midrakh Oz
שניר;Senir
חפצי-בה;Hefzi-Bah
משמר העמק;Mishmar HaEmeq
צבעון;Ziv'on
ארבל;Arbel
מעגן;Ma'agan
ירדנה;Yardena
עין זיוון;En Ziwan
מורשת;Moreshet
אומן;Omen
כמאנה;Kamane
מלאה;Mele'a
מנשית זבדה;Manshiyyet Zabda
הודיות;Hodayot
רחוב;Rehov
פורייה - כפר עבודה;Poriyya-Kefar Avoda
גדיש;Gadish
ראס אל-עין;Ras Al-Ein
אמנון;Amnun
יראון;Yir'on
כורזים;Korazim 
חרשים;Harashim
מסילות;Mesillot 
אורטל;Ortal
אלמגור;Almagor
אפיק;Afiq
כפר גדעון;Kefar Gid'on
תל קציר;Tel Qazir
סאסא;Sasa
ברק;Baraq
נווה אור;Newe Ur
משגב עם;Misgav Am
יקנעם (מושבה);Yoqne'am(Moshava)
כמון;Kammon
כפר חרוב;Kefar Haruv
גדות;Gadot
אלי-עד;Eli-Ad
צביה;Zviyya
אדירים;Addirim
גלעד (אבן יצחק);Gal'ed (Even Yizhaq)
לביא;Lavi
מעונה;Me'ona
אילנייה;Ilaniyya
ג'דיידה-מכר;Judeide-Maker
מורן;Moran 
מחניים;Mahanayim 
בית שאן;Bet She'an 
הסוללים;HaSolelim 
עבדון;Avdon
רמת צבי;Ramat Zevi
אמירים;Amirim
חוסנייה;Hussniyya
הרדוף;Harduf
הגושרים;HaGosherim
נווה זיו;Newe Ziv
עראבה;Arrabe
תל עדשים;Tel Adashim 
אילון;Elon
יסעור;Yas'ur
פורייה - נווה עובד;Poriyya-Newe Oved
נחף;Nahef
חוקוק;Huqoq
עפולה;Afula
בועיינה-נוג'ידאת;Bu'eine-Nujeidat
כברי;Kabri
חד-נס;Had-Nes
נאות גולן;Ne'ot Golan 
בית רימון;Bet Rimmon
מג'ד אל-כרום;Majd al-Kurum
גורן;Goren
שלומי;Shelomi
סער;Sa'ar
גבעת יואב;Giv'at Yo'av
שמיר;Shamir
עיילבון;Eilabun
מנחמיה;Menahemya
מסד;Massad
געתון;Ga'ton
שכניה;Shekhanya
קצרין;Qazrin
דישון;Dishon
ראש פינה;Rosh Pinna
גינוסר;Ginnosar
גשר הזיו;Gesher HaZiw
כליל;Kelil
אבו סנאן;Abu Sinan
תמרת;Timrat
שפרעם;Shefar'am
נווה איתן;Newe Etan
ג'ש (גוש חלב);Jish(Gush Halav)
תובל;Tuval
קורנית;Qoranit
הזורע;HaZorea
גשר;Gesher
גורנות הגליל;Gornot HaGalil
יובל;Yuval
טייבה (בעמק);Tayibe(Baemeq)
כישור;Kishor
בסמת טבעון;Basmat Tab'un
אפיקים;Afiqim
זרזיר;Zarzir
חמדיה;Hamadya
כעביה-טבאש-חג'אג'רה;Ka'abiyye-Tabbash-Hajajre
מזרעה;Mazra'a
כפר הנשיא;Kefar HaNasi
פסוטה;Fassuta
גבת;Gevat
לימן;Liman 
רוויה;Rewaya
אשדות יעקב (איחוד);Ashdot Ya'aqov(Ihud)
רביד;Ravid
שומרה;Shomera
מעוז חיים;Ma'oz Hayyim 
צוריאל;Zuri'el
אשדות יעקב (מאוחד);Ashdot Ya'aqov(Me'uhad)
כפר כמא;Kafar Kama
גן נר;Gan Ner
ירכא;Yirka
ראמה;Rame
חצור הגלילית;Hazor HaGelilit
נצרת;Nazareth
אשבל;Eshbal
לפידות;Lappidot
כפר יאסיף;Kafar Yasif
רקפת;Raqqefet
כפר תבור;Kefar Tavor
משמר הירדן;Mishmar HaYarden 
עמיר;Amir
אעבלין;I'billin
מכמנים;Mikhmannim
קריית שמונה;Qiryat Shemona
כדורי;Kadoorie
נהלל;Nahalal
כרמיאל;Karmi'el
עמיעד;Ammi'ad
בירייה;Biriyya
יערה;Ya'ara
אחיהוד;Ahihud
ג'ולס;Julis
מנוף;Manof
דלתון;Dalton 
כנרת (מושבה);Kinneret(Moshava)
מלכישוע;Malkishua
טמרה;Tamra
שפר;Shefer
עין אל-אסד;Ein Al-Asad
ציפורי;Zippori
לוטם;Lotem
גבעת עוז;Giv'at Oz
כאבול;Kabul
נס עמים;Nes Ammim
מעלה גלבוע;Ma'ale Gilboa
פורייה עילית;Poriyya Illit
כפר ראש הנקרה;Kefar Rosh HaNiqra
שריד;Sarid
מגידו;Megiddo
עברון;Evron
להבות הבשן;Lahavot HaBashan 
מטולה;Metula
בוקעאתא;Buq'ata
בוסתן הגליל;Bustan HaGalil
לבנים;Livnim
גיניגר;Ginnegar
פקיעין חדשה;Peqi'in Hadasha
מרגליות;Margaliyyot
מעיליא;Mi'elya
עכו;Akko
טובא-זנגרייה;Tuba-Zangariyye
מסדה;Massada
ערב אל נעים;Arab Al Naim
אפק;Afeq
דייר חנא;Deir Hanna
גונן;Gonen
קשת;Qeshet
עין העמק;En HaEmeq
כפר קיש;Kefar Kisch
טירת צבי;Tirat Zevi
כאוכב אבו אל-היג'א;Kaokab Abu Al-Hija
בענה;Bi'ne
שדה נחום;Sede Nahum
טבריה;Tiberias
צפת;Zefat
ריינה;Reine
בן עמי;Ben Ammi
נהרייה;Nahariyya
מעלות-תרשיחא;Ma'alot-Tarshiha
אלומות;Alummot
נוף הגליל;Nof HaGalil
עין מאהל;Ein Mahel
עוזייר;Uzeir
מגדל;Migdal 
בצת;Bezet
כפר ורדים;Kefar Weradim
כפר יחזקאל;Kefar Yehezqel
חיפה;Haifa
קיסריה;Qesaryya
ניר עציון;Nir Ezyon
נווה ים;Newe Yam
להבות חביבה;Lahavot Haviva
גבע כרמל;Geva  Karmel
נווה אבות;Newe Avot
מעיין צבי;Ma'yan Zevi
כפר פינס;Kefar Pines
מאיר שפיה;Me'ir Shefeya
כפר הנוער הדתי;Kefar HaNo'ar Hadati
יגור;Yagur
נופית;Nofit
אושה;Usha
עין איילה;En Ayyala
כפר חסידים ב';Kefar Hasidim Bet
אורנים;Oranim
טירת כרמל;Tirat Karmel
כפר גלים;Kefar Gallim
מגל;Maggal 
חריש;Harish
מענית;Ma'anit
מגדים;Megadim
רגבים;Regavim
אלוני יצחק;Allone Yizhaq
נשר;Nesher
כפר חסידים א';Kefar Hasidim Alef
בית אורן;Bet Oren
דור;Dor
חדרה;Hadera
מי עמי;Me Ammi
הבונים;HaBonim
כפר המכבי;Kefar HaMakkabbi
עתלית;Atlit
שער מנשה;Sha'ar Menashe
כפר גליקסון;Kefar Glikson
בית צבי;Bet Zevi
אביאל;Avi'el
מייסר;Meiser
מעגן מיכאל;Ma'agan Mikha'el
שער העמקים;Sha'ar HaAmaqim
עספיא;Isifya
אום אל-קוטוף;Umm Al-Qutuf
קריית טבעון;Qiryat Tiv'on
"גבעת ניל""י";Giv'at Nili
אור עקיבא;Or Aqiva
כפר ביאליק;Kefar Bialik
אל -עריאן;Al-Aryan
עין שמר;En Shemer
עמיקם;Ammiqam
עין חוד;Ein Hod
"כרם מהר""ל";Kerem Maharal 
רמת יוחנן;Ramat Yohanan
אום אל-פחם;Umm al-Fahm
רכסים;Rekhasim 
קריית מוצקין;Qiryat Motzkin
עין עירון;En Iron
קריית ים;Qiryat Yam
ג'סר א-זרקא;Jisr Az-Zarqa
קריית אתא;Qiryat Atta
שדות ים;Sedot Yam
קריית ביאליק;Qiryat Bialik
"בסמ""ה";Basma
בנימינה-גבעת עדה*;Binyamina-Giv'at Ada
פרדס חנה-כרכור;Pardes Hanna-Karkur
באקה אל-גרביה;Baqa Al-Gharbiyye                                 
צרופה;Zerufa
תלמי אלעזר;Talme El'azar
ג'ת;Jatt                                              
נחשולים;Nahsholim
ערערה;Ar'ara
מאור;Ma'or
ראס עלי;Ras Ali
בית חנניה;Bet Hananya
מצר;Mezer
גן השומרון;Gan HaShomeron
החותרים;HaHoterim
אבטין;Ibtin
גן שמואל;Gan Shemu'el
עין הוד;En Hod
כפר קרע;Kafar Qara
משמרות;Mishmarot
מעלה עירון;Ma'ale Iron 
עופר;Ofer
פוריידיס;Fureidis
שדה יצחק;Sede Yizhaq
מצפה אילן;Mitspe Ilan
זכרון יעקב;Zikhron Ya'aqov
ח'ואלד;Khawaled
ברקאי;Barqay
דאלית אל-כרמל;Daliyat Al-Karmel
עין כרמל;En Karmel 
בת שלמה;Bat Shelomo
נצר חזני;Nezer Hazzani                                     
כפר הס;Kefar Hess
בניה;Benaya
גני תקווה;Ganne Tiqwa
ישרש;Yashresh
ראש העין;Rosh HaAyin
עינת;Enat
תנובות;Tenuvot
כפר טרומן;Kefar Truman
ברקת;Bareqet
גן שורק;Gan Soreq
בית נחמיה;Bet Nehemya
לפיד;Lappid
יעף;Ye'af
קדימה-צורן;Qadima- Zoran 
בית אלעזרי;Bet El'azari
בית יצחק-שער חפר;Bet Yizhaq-Sh. Hefer
יבנה;Yavne
בית חשמונאי;Bet Hashmonay
זמר;Zemer
קדרון;Qidron
טייבה;Tayibe
חגלה;Hogla
לוד;Lod
מעש;Ma'as
פלמחים;Palmahim
צור נתן;Zur Natan
נוף איילון;Nof Ayyalon
חרב לאת;Herev Le'Et
קריית שלמה;Qiryat Shelomo
"כפר ביל""ו";Kefar Bilu
בית עריף;Bet Arif
כפר הנגיד;Kefar HaNagid
בית רבן;Bet Rabban 
בני ציון;Bene Ziyyon
שדי חמד;Sede Hemed
ג'לג'וליה;Jaljulye
חדיד;Hadid
חבצלת השרון;Havazzelet HaSharon
פורת;Porat
כפר ויתקין;Kefar Vitkin
ניר צבי;Nir Zevi
כפר יונה;Kefar Yona
צופית;Zofit
מדרשת רופין;Midreshet Ruppin 
משגב דב;Misgav Dov
בני דרום;Bene Darom
מישר;Meshar
יהוד;Yehud
נעורים;Ne'urim
יד חנה;Yad Hanna
אומץ;Omez
שושנת העמקים;Shoshannat HaAmaqim
"חמ""ד";Hemed
רמות מאיר;Ramot Me'ir
מזור;Mazor
נווה ירק;Newe Yaraq
חורשים;Horeshim
כפר אביב;Kefar Aviv
מצליח;Mazliah
גבעת חיים (מאוחד);Giv'at Hayyim(Me'uhad)
כפר חיים;Kefar Hayyim
בית יהושע;Bet Yehoshua
רמות השבים;Ramot HaShavim
קבוצת יבנה;Qevuzat Yavne
זיתן;Zetan
כפר נטר;Kefar Netter
גבעת חיים (איחוד);Giv'at Hayyim (Ihud)
בני דרור;Bene Deror
ראשון לציון;Rishon LeZiyyon
עין החורש;En HaHoresh
חולדה;Hulda
חגור;Hagor
עין שריד;En Sarid
גאולי תימן;Ge'ule Teman
בארותיים;Be'erotayim
גאולים;Ge'ulim
נס ציונה;Nes Ziyyona
מתן;Mattan
בורגתה;Burgeta
נחלים;Nehalim
יד בנימין;Yad Binyamin
מגשימים;Magshimim
כרמי יוסף;Karme Yosef
נען;Na'an
משמרת;Mishmeret
מעברות;Ma'barot
עדנים;Adanim 
גנות הדר;Gannot Hadar
צפרייה;Zafriyya
רמלה;Ramla 
בית ברל;Bet Berl
גאליה;Ge'alya
טירת יהודה;Tirat Yehuda
"כפר חב""ד";Kefar Habad
רינתיה;Rinnatya
סתרייה;Sitriyya
המעפיל;HaMa'pil
מבואות ים;Mevo'ot Yam 
בית חלקיה;Bet Hilqiyya
משמר השבעה;Mishmar HaShiv'a
רעננה;Ra'annana
נצר סרני;Nezer Sereni
בית עוזיאל;Bet Uzzi'el
עולש;Olesh
רמת הכובש;Ramat HaKovesh
"יד רמב""ם";Yad Rambam             
כוכב יאיר;Kokhav Ya'ir
ניצני עוז;Nizzane Oz
שער אפרים;Sha'ar Efrayim
מזכרת בתיה;Mazkeret Batya
אחיטוב;Ahituv
הדר עם;Hadar Am 
חרוצים;Haruzim
בית דגן;Bet Dagan
ירחיב;Yarhiv
פתחיה;Petahya
נורדייה;Nordiyya
שעלבים;Sha'alvim 
גן יאשיה;Gan Yoshiyya
בן זכאי;Ben Zakkay
משמר איילון;Mishmar Ayyalon
גבעת ברנר;Giv'at Brenner
בני עטרות;Bene Atarot
עזריה;Azarya
בית חנן;Bet Hanan
גמזו;Gimzo
עיינות;Ayanot
הוד השרון;Hod HaSharon
חפץ חיים;Hafez Hayyim
אבן יהודה;Even Yehuda
פדיה;Pedaya
שוהם;Shoham 
גני טל;Ganne Tal                                         
קלנסווה;Qalansawe
גדרה;Gedera
פרדסייה;Pardesiyya
גן חיים;Gan Hayyim
סביון*;Savyon
כפר סבא;Kefar Sava
באר יעקב;Be'er Ya'aqov
ינוב;Yanuv
אלישיב;Elyashiv
ניר גלים;Nir Gallim
כפר מונש;Kefar Monash
גינתון;Ginnaton
בחן;Bahan
אחיעזר;Ahi'ezer
כפר ברא;Kafar Bara
כפר מרדכי;Kefar Mordekhay
יציץ;Yaziz
כפר ידידיה;Kefar Yedidya
גזר;Gezer
משמר השרון;Mishmar HaSharon
בת חפר;Bat Hefer
נווה ימין;Newe Yamin
גן שלמה;Gan Shelomo
עשרת;Aseret
אלעד;El'ad
חיבת ציון;Hibbat Ziyyon
חירות;Herut
תל יצחק;Tel Yizhaq
חופית;Hofit
צוקי ים;Zuqi Yam
נירית;Nirit
יסודות;Yesodot
ניר אליהו;Nir Eliyyahu
כפר דניאל;Kefar Daniyyel
גני עם;Ganne Am
כרם יבנה (ישיבה);Kerem Yavne(Yeshiva)
חניאל;Hanni'el
כפר בן נון;Kefar Bin Nun
גן יבנה;Gan Yavne
בית עובד;Bet Oved
נתניה;Netanya
רחובות;Rehovot
טירה;Tire
העוגן;HaOgen
מבוא מודיעים;Mevo Modi'im
אייל;Eyal
גני יוחנן;Ganne Yohanan
כפר רות;Kefar Rut
ארסוף;Arsuf
כרם בן שמן;Kerem Ben Shemen 
צור משה;Zur Moshe
כפר עבודה;Kefar Avoda
שילת;Shilat
צור יצחק;Zur Yizhaq
יקום;Yaqum
יגל;Yagel
גנות;Gannot
נופך;Nofekh
שדמה;Shedema
כפר שמואל;Kefar Shemu'el
בן שמן (מושב);Ben Shemen (Moshav)
כפר יעבץ;Kefar Ya'bez
בית חירות;Bet Herut
ביתן אהרן;Bitan Aharon
משמר דוד;Mishmar Dawid
רשפון;Rishpon
עזריאל;Azri'el
גני הדר;Ganne Hadar
"גבעת ח""ן";Giv'at Hen
כפר סירקין;Kefar Sirkin
בני ראם;Bene Re'em
קריית עקרון;Qiryat Eqron
עין ורד;En Wered
גן הדרום;Gan HaDarom
בית ינאי;Bet Yannay
כפר קאסם;Kafar Qasem
שפיים;Shefayim
בן שמן (כפר נוער);Ben Shemen(K.No'ar)
בצרה;Bazra
גיבתון;Gibbeton
מכמורת;Mikhmoret
בית הלוי;Bet HaLewi
גבעת השלושה;Giv'at HaShelosha
נטעים;Neta'im 
"כפר מל""ל";Kefar Malal
פתח תקווה;Petah Tiqwa
אביחיל;Avihayil
בת חן;Bat Hen
געש;Ga'ash
בית גמליאל;Bet Gamli'el
ירקונה;Yarqona
נחשונים;Nahshonim 
מודיעין-מכבים-רעות*;Modi'in-Makkabbim-Re'ut
תל מונד;Tel Mond
"גבעת כ""ח";Giv'at Koah
שדה ורבורג;Sede Warburg
"כפר הרא""ה";Kefar HaRo'e
גת רימון;Gat Rimmon
אליכין;Elyakhin
בארות יצחק;Be'erot Yizhaq
אלישמע;Elishama
גבעת שפירא;Giv'at Shappira
אחיסמך;Ahisamakh
גבעת שמואל;Giv'at Shemu'el
"בני עי""ש";Bene Ayish
אודים;Udim
קריית אונו;Qiryat Ono
מקווה ישראל;Miqwe Yisra'el
רמת גן;Ramat Gan 
בת ים;Bat Yam
אור יהודה;Or Yehuda
תל אביב -יפו;Tel Aviv - Yafo
חולון;Holon
גליל ים;Gelil Yam
כפר שמריהו;Kefar Shemaryahu
הרצלייה;Herzliyya
גבעתיים;Giv'atayim
רמת השרון;Ramat HaSharon
אזור;Azor
בני ברק;Bene Beraq
בת הדר;Bat Hadar
בני נצרים;Bne Netsarim
משמר הנגב;Mishmar HaNegev
תלמי יפה;Talme Yafe
ביצרון;Bizzaron
חצרים;Hazerim
נווה;Nave
רבדים;Revadim
חצב;Hazav
ברכיה;Berekhya
לכיש;Lakhish
ניר יצחק;Nir Yizhaq
שפיר;Shafir
תלמים;Telamim
תימורים;Timmorim
אבו קורינאת (יישוב);Abu Qureinat
אבן שמואל;Even Shemu'el
אור הנר;Or HaNer
ניר ישראל;Nir Yisra'el
בטחה;Bitha
גת (קיבוץ);Gat(Qibbuz)
נווה מבטח;Newe Mivtah
ניר עקיבא;Nir Aqiva
סעד;Sa'ad
זרחיה;Zerahya
שתולים;Shetulim
שומרייה;Shomeriyya
תפרח;Tifrah
"כפר הרי""ף";Kefar Harif
גילת;Gilat
מסלול;Maslul
ניצן;Nizzan
מרכז שפירא;Merkaz Shappira
תושייה;Tushiyya
עין צורים;En Zurim
שובה;Shuva
ניר בנים;Nir Banim
בית הגדי;Bet HaGaddi
אביגדור;Avigedor
משואות יצחק;Massu'ot Yizhaq
רנן;Rannen
חצור-אשדוד;Hazor-Ashdod
כפר מנחם;Kefar Menahem
שחר;Shahar
תדהר;Tidhar
בית קמה;Bet Qama
עין יהב;En Yahav
באר טוביה;Be'er Toviyya
שובל;Shoval
נחלה;Nahala
יטבתה;Yotvata
מעגלים;Ma'galim 
תקומה;Tequma
אשבול;Eshbol
שדה צבי;Sede Zevi
כפר אחים;Kefar Ahim
מכחול;Makchul
עזר;Ezer
ניר עם;Nir Am
דקל;Deqel
עוצם;Ozem
שחרות;Shaharut
יד נתן;Yad Natan
נווה חריף;Newe Harif
אורים;Urim
מנוחה;Menuha
עזוז;Ezuz
רהט;Rahat
ניר משה;Nir Moshe
שדה דוד;Sede Dawid
שני;Shani
בית ניר;Bet Nir
ארז;Erez
כיסופים;Kissufim 
רתמים;Retamim
אשלים;Ashalim
מחנה יתיר;Mahane Yattir
אלומה;Alumma
פדויים;Peduyim
פרי גן;Peri Gan
"תלמי ביל""ו";Talme Bilu
כמהין;Kemehin
עין תמר;En Tamar
שוקדה;Shoqeda
באר מילכה;Be'er Milka
ביר הדאג';Bir Hadage
ישע;Yesha
צוקים;Zuqim
זרועה;Zeru'a
ניצנים;Nizzanim
נחל עוז;Nahal Oz
קריית מלאכי;Qiryat Mal'akhi
יתד;Yated
פארן;Paran
אל סייד;Al Sayyid
עידן;Iddan
גלאון;Gal'on
שדה יואב;Sede Yo'av
נוגה;Nogah
עמיעוז;Ammi'oz
גבים;Gevim
לוטן;Lotan
זבדיאל;Zavdi'el
קוממיות;Qomemiyyut
"פעמי תש""ז";Pa'ame Tashaz
ברוש;Berosh
אשקלון;Ashqelon
בית גוברין;Bet Guvrin
עלומים;Alumim 
פטיש;Pattish
שדה משה;Sede Moshe
דורות;Dorot
שדה עוזיהו;Sede Uzziyyahu
יכיני;Yakhini
רעים;Re'im
יד מרדכי;Yad Mordekhay
כפר עזה;Kefar Azza
צוחר;Zohar
יושיביה;Yoshivya
דריג'את;Derig'at
זמרת;Zimrat
קלחים;Qelahim
עוזה;Uza
גבעות בר;Geva'ot Bar
להב;Lahav 
נתיב העשרה;Netiv HaAsara
הודייה;Hodiyya
חורה;Hura
קריית גת;Qiryat Gat
מפלסים;Mefallesim
קטורה;Qetura
קצר א-סר;Qasr A-Sir
רווחה;Rewaha
נתיבות;Netivot
ינון;Yinnon
"ניר ח""ן";Nir Hen
טללים;Telalim
סופה;Sufa
יהל;Yahel
כרמייה;Karmiyya
שגב-שלום;Segev-Shalom
תל שבע;Tel Sheva
דבירה;Devira
כסיפה;Kuseife
עזריקם;Azriqam
סגולה;Segulla
אשדוד;Ashdod
מבועים;Mabbu'im 
